title,company,link,semantic_score,keyword_score,title_boost,final_score
DevOps Intern,CloudNex,https://cloudnex.in/intern,0.124,0.237,0.2,0.166
Web Development Intern,CodeForge,https://codeforge.in/intern,0.118,0.079,0.0,0.094
Full Stack Developer Intern,NLC Tech,https://nlcindia.in/intern,0.114,0.079,0.0,0.092
Python Developer Intern,DataSync,https://datasync.in/intern,0.11,0.079,0.0,0.09
Software Development Intern,IIT Ropar,https://iitrpr.ac.in/intern,0.129,0.0,0.0,0.078
UI/UX Designer Intern,DesignLab,https://designlab.co/intern,0.08,0.0,0.0,0.048
Portfolio Developer Intern,CreativeCode,https://creativecode.in/intern,0.069,0.0,0.0,0.041
React Developer Intern,WebSpark,https://webspark.in/intern,0.063,0.0,0.0,0.038
Frontend Developer Intern,ReactWorks,https://reactworks.com/intern,0.046,0.0,0.0,0.028
Database Developer Intern,MySQL Solutions,https://mysqldb.in/intern,0.047,0.0,0.0,0.028
