title,company,location,description,link
Frontend Developer Intern,ReactWorks,Chennai,"Looking for React, TypeScript, Tailwind CSS, Vite, modern UI development, responsive design, Git workflow",https://reactworks.com/intern
Web Development Intern,CodeForge,Bangalore,"Python backend, React frontend, MySQL database, API integration, GitHub collaboration, full stack development",https://codeforge.in/intern
UI/UX Designer Intern,DesignLab,Remote,"Figma prototyping, user-centered design, React component design, responsive layouts, modern UI patterns",https://designlab.co/intern
Full Stack Developer Intern,NLC Tech,Neyveli,"Web applications, database management, Python scripting, Java backend, real-time systems, Linux administration",https://nlcindia.in/intern
React Developer Intern,WebSpark,Hyderabad,"React.js, TypeScript, Tailwind CSS, Three.js animations, component libraries, modern frontend development",https://webspark.in/intern
Python Developer Intern,DataSync,Chennai,"Python development, MySQL databases, API development, Linux systems, automation scripting, Git workflows",https://datasync.in/intern
Software Development Intern,IIT Ropar,Ropar,"Software development, Python programming, web technologies, research projects, Git collaboration, problem solving",https://iitrpr.ac.in/intern
DevOps Intern,CloudNex,Remote,"Linux administration, RHCSA skills, Python automation, Git workflows, cloud deployment, system administration",https://cloudnex.in/intern
Portfolio Developer Intern,CreativeCode,Bangalore,"React portfolio development, Three.js animations, Tailwind CSS, TypeScript, Vite builds, responsive design",https://creativecode.in/intern
Database Developer Intern,MySQL Solutions,Chennai,"MySQL database design, Python database applications, web backend development, data management systems",https://mysqldb.in/intern
